file_id,cell_line
246,CACO-2
247,HEK 293
248,RT4
249,RT4
250,A549
251,RT4
252,HeLa
253,HEK 293
254,RT4
255,MCF7
256,CACO-2
257,MCF7
258,MCF7
259,HEK 293
260,RT4
261,HeLa
262,A549
263,CACO-2
264,PC-3
265,HeLa
266,RT4
267,U-251 MG
268,U-251 MG
269,HEK 293
270,MCF7
271,RT4
272,RT4
273,CACO-2
274,CACO-2
275,MCF7
276,HeLa
277,U-2 OS
278,U-251 MG
279,RT4
280,A549
281,U-2 OS
282,HEK 293
283,U-251 MG
284,A549
285,HEK 293
286,HeLa
287,A549
288,CACO-2
289,HEK 293
290,U-251 MG
291,RT4
292,RT4
293,U-251 MG
294,HEK 293
295,A549
296,MCF7
297,RT4
298,U-251 MG
299,MCF7
300,RT4
301,HEK 293
302,CACO-2
303,PC-3
304,HEK 293
305,A549
306,HEK 293
307,MCF7
308,RT4
309,PC-3
310,U-2 OS
311,RT4
312,A549
313,RT4
314,HeLa
315,MCF7
316,MCF7
317,CACO-2
318,CACO-2
319,CACO-2
320,A549
321,PC-3
322,PC-3
323,RT4
324,CACO-2
325,U-251 MG
326,MCF7
327,RT4
328,CACO-2
329,MCF7
330,U-251 MG
331,U-2 OS
332,U-251 MG
333,HeLa
334,PC-3
335,MCF7
336,A549
337,U-251 MG
338,MCF7
339,RT4
340,HEK 293
341,CACO-2
342,RT4
343,MCF7
344,RT4
345,HEK 293
346,CACO-2
347,PC-3
348,CACO-2
349,RT4
350,U-2 OS
351,CACO-2
352,RT4
353,HEK 293
354,A549
355,RT4
356,U-2 OS
357,CACO-2
358,PC-3
359,HeLa
360,PC-3
361,HeLa
362,RT4
363,HEK 293
364,RT4
365,RT4
366,HEK 293
367,RT4
368,RT4
369,CACO-2
370,RT4
371,U-251 MG
372,PC-3
373,HEK 293
374,CACO-2
375,RT4
376,RT4
377,PC-3
378,U-2 OS
379,U-251 MG
380,RT4
381,U-2 OS
382,HeLa
383,U-251 MG
384,CACO-2
385,U-2 OS
386,U-251 MG
387,HEK 293
388,RT4
389,U-2 OS
390,CACO-2
391,U-251 MG
392,U-2 OS
393,CACO-2
394,U-251 MG
395,MCF7
396,CACO-2
397,CACO-2
398,A549
399,U-2 OS
400,CACO-2
401,RT4
402,HEK 293
403,HEK 293
404,MCF7
405,RT4
406,PC-3
407,CACO-2
408,PC-3
409,HEK 293
410,MCF7
411,HEK 293
412,U-251 MG
413,A549
414,HEK 293
415,MCF7
416,RT4
417,U-2 OS
418,MCF7
419,CACO-2
420,MCF7
421,MCF7
422,HeLa
423,MCF7
424,CACO-2
425,U-2 OS
426,HeLa
427,RT4
428,HEK 293
429,HEK 293
430,U-2 OS
431,HeLa
432,RT4
433,HEK 293
434,RT4
435,PC-3
436,U-251 MG
437,CACO-2
438,HeLa
439,U-2 OS
440,PC-3
441,MCF7
442,CACO-2
443,PC-3
444,A549
445,CACO-2
446,PC-3
447,MCF7
448,U-2 OS
449,HeLa
450,RT4
451,RT4
452,A549
453,HEK 293
454,HeLa
455,RT4
456,HEK 293
457,HeLa
458,MCF7
459,CACO-2
460,RT4
461,RT4
462,RT4
463,HEK 293
464,U-251 MG
465,RT4
466,HeLa
467,HeLa
468,PC-3
469,U-251 MG
470,U-2 OS
471,RT4
472,HEK 293
473,HeLa
474,U-251 MG
475,CACO-2
476,RT4
477,PC-3
478,RT4
479,PC-3
480,MCF7
481,HeLa
482,HEK 293
483,PC-3
484,HEK 293
485,U-2 OS
486,PC-3
487,HeLa
488,MCF7
489,RT4
490,CACO-2
491,CACO-2
492,CACO-2
493,A549
494,U-251 MG
495,A549
496,PC-3
497,MCF7
498,U-2 OS
499,HEK 293
500,RT4
501,HEK 293
502,CACO-2
503,MCF7
504,MCF7
505,CACO-2
506,RT4
507,RT4
508,U-2 OS
509,PC-3
510,U-2 OS
511,A549
512,HEK 293
513,CACO-2
514,MCF7
515,RT4
516,CACO-2
517,PC-3
518,CACO-2
519,U-2 OS
520,HEK 293
521,RT4
522,PC-3
523,U-251 MG
524,A549
525,PC-3
526,MCF7
527,HEK 293
528,MCF7
529,RT4
530,CACO-2
531,U-2 OS
532,HeLa
533,CACO-2
534,U-2 OS
535,RT4
536,PC-3
537,MCF7
538,HEK 293
539,U-251 MG
540,U-2 OS
541,CACO-2
542,RT4
543,RT4
544,RT4
545,RT4
546,HEK 293
547,MCF7
548,CACO-2
549,U-2 OS
550,RT4
551,HeLa
552,U-251 MG
553,U-251 MG
554,RT4
555,U-251 MG
556,HeLa
557,CACO-2
558,CACO-2
559,CACO-2
560,HeLa
561,CACO-2
562,HeLa
563,RT4
564,CACO-2
565,MCF7
566,CACO-2
567,U-251 MG
568,HEK 293
569,RT4
570,A549
571,MCF7
572,A549
573,HEK 293
574,MCF7
575,U-251 MG
576,RT4
577,CACO-2
578,HEK 293
579,A549
580,HEK 293
581,HeLa
582,MCF7
583,RT4
584,PC-3
585,MCF7
586,CACO-2
587,CACO-2
588,RT4
589,RT4
590,U-251 MG
591,CACO-2
592,PC-3
593,RT4
594,RT4
595,CACO-2
596,HEK 293
597,CACO-2
598,HeLa
599,HEK 293
600,HEK 293
601,HEK 293
602,HeLa
603,RT4
604,PC-3
605,U-2 OS
606,RT4
607,MCF7
608,RT4
609,RT4
610,RT4
611,U-251 MG
612,CACO-2
613,HeLa
614,HEK 293
615,U-251 MG
616,RT4
617,U-2 OS
618,HeLa
619,A549
620,U-251 MG
621,MCF7
622,U-251 MG
623,RT4
624,RT4
625,MCF7
626,RT4
627,U-251 MG
628,HEK 293
629,A549
630,U-2 OS
631,HeLa
632,RT4
633,RT4
634,MCF7
635,U-251 MG
636,U-2 OS
637,RT4
638,CACO-2
639,MCF7
640,MCF7
641,MCF7
642,RT4
643,RT4
644,HEK 293
645,CACO-2
646,CACO-2
647,U-2 OS
648,RT4
649,HEK 293
650,A549
651,U-2 OS
652,PC-3
653,HEK 293
654,CACO-2
655,MCF7
656,PC-3
657,RT4
658,RT4
659,U-2 OS
660,HeLa
661,HEK 293
662,MCF7
663,A549
664,HeLa
665,PC-3
666,U-2 OS
667,CACO-2
668,HeLa
669,A549
670,A549
671,CACO-2
672,CACO-2
673,HEK 293
674,U-2 OS
675,RT4
676,HeLa
677,HEK 293
678,CACO-2
679,U-251 MG
680,MCF7
681,HeLa
682,MCF7
683,MCF7
684,CACO-2
685,HeLa
686,HEK 293
687,MCF7
688,RT4
689,HeLa
690,U-251 MG
691,MCF7
692,CACO-2
693,CACO-2
694,HEK 293
695,HeLa
696,HEK 293
697,CACO-2
698,HEK 293
699,U-2 OS
700,HEK 293
701,A549
702,HEK 293
703,MCF7
704,U-251 MG
705,U-2 OS
706,RT4
707,CACO-2
708,CACO-2
709,A549
710,RT4
711,RT4
712,RT4
713,HEK 293
714,MCF7
715,U-251 MG
716,HEK 293
717,PC-3
718,CACO-2
719,HeLa
720,MCF7
721,RT4
722,HEK 293
723,CACO-2
724,PC-3
725,HEK 293
726,RT4
727,HeLa
728,CACO-2
729,RT4
730,MCF7
731,MCF7
732,RT4
733,HEK 293
734,A549
735,RT4
736,U-251 MG
737,CACO-2
738,A549
739,MCF7
740,CACO-2
741,CACO-2
742,CACO-2
743,RT4
744,U-251 MG
745,MCF7
746,MCF7
747,RT4
748,U-2 OS
749,MCF7
750,PC-3
751,HEK 293
752,A549
753,RT4
754,PC-3
755,CACO-2
756,HEK 293
757,RT4
758,CACO-2
759,RT4
760,CACO-2
761,HEK 293
762,RT4
763,CACO-2
764,MCF7
765,CACO-2
766,RT4
767,RT4
768,MCF7
769,RT4
770,RT4
771,PC-3
772,A549
773,RT4
774,CACO-2
775,RT4
776,U-2 OS
777,A549
778,U-2 OS
779,HEK 293
780,HEK 293
781,U-2 OS
782,PC-3
783,HEK 293
784,HEK 293
785,RT4
786,HEK 293
787,A549
788,HeLa
789,HEK 293
790,RT4
791,RT4
792,CACO-2
793,HEK 293
794,U-251 MG
795,RT4
796,RT4
797,HEK 293
798,MCF7
799,MCF7
800,RT4
801,U-251 MG
802,CACO-2
803,HeLa
804,HEK 293
805,CACO-2
806,HeLa
807,PC-3
808,U-2 OS
809,CACO-2
810,HeLa
811,CACO-2
812,HeLa
813,HEK 293
814,CACO-2
815,HEK 293
816,MCF7
817,CACO-2
818,CACO-2
819,U-2 OS
820,PC-3
821,HEK 293
822,PC-3
823,U-251 MG
824,RT4
825,RT4
826,MCF7
827,HeLa
828,CACO-2
829,CACO-2
830,CACO-2
831,RT4
832,HeLa
833,CACO-2
834,HeLa
835,HeLa
836,HEK 293
837,CACO-2
838,HEK 293
839,CACO-2
840,HeLa
841,U-2 OS
842,PC-3
843,U-251 MG
844,HeLa
845,HEK 293
846,CACO-2
847,HEK 293
848,MCF7
849,PC-3
850,MCF7
851,MCF7
852,MCF7
853,CACO-2
854,HeLa
855,CACO-2
856,HEK 293
857,CACO-2
858,U-251 MG
859,U-251 MG
860,A549
861,MCF7
862,CACO-2
863,RT4
864,U-251 MG
865,RT4
866,HEK 293
867,U-2 OS
868,HEK 293
869,HeLa
870,RT4
871,RT4
872,A549
873,CACO-2
874,U-251 MG
875,A549
876,HEK 293
877,CACO-2
878,PC-3
879,PC-3
880,U-2 OS
881,HEK 293
882,HEK 293
883,RT4
884,RT4
885,PC-3
886,CACO-2
887,CACO-2
888,CACO-2
889,MCF7
890,MCF7
891,U-251 MG
892,U-251 MG
893,HEK 293
894,RT4
895,MCF7
896,CACO-2
897,RT4
898,MCF7
899,PC-3
900,PC-3
901,A549
902,CACO-2
903,CACO-2
904,CACO-2
905,HeLa
906,HEK 293
907,CACO-2
908,HeLa
909,MCF7
910,U-2 OS
911,MCF7
912,MCF7
913,CACO-2
914,CACO-2
915,RT4
916,PC-3
917,HeLa
918,U-2 OS
919,RT4
920,CACO-2
921,HEK 293
922,CACO-2
923,MCF7
924,HEK 293
925,CACO-2
926,A549
927,RT4
928,RT4
929,PC-3
930,RT4
931,HeLa
932,CACO-2
933,RT4
934,RT4
935,CACO-2
936,RT4
937,U-2 OS
938,MCF7
939,HEK 293
940,HEK 293
941,PC-3
942,U-251 MG
943,CACO-2
944,U-251 MG
945,HeLa
946,RT4
947,HEK 293
948,U-251 MG
949,PC-3
950,RT4
951,RT4
952,RT4
953,RT4
954,A549
955,RT4
956,MCF7
957,HEK 293
958,RT4
959,HEK 293
960,A549
961,PC-3
962,A549
963,HEK 293
964,CACO-2
965,RT4
966,RT4
967,MCF7
968,U-251 MG
969,CACO-2
970,HEK 293
971,CACO-2
972,PC-3
973,CACO-2
974,CACO-2
975,MCF7
976,CACO-2
977,HEK 293
978,HEK 293
979,U-2 OS
980,HEK 293
981,RT4
982,HEK 293
983,A549
984,U-251 MG
985,MCF7
986,CACO-2
987,HEK 293
988,U-251 MG
989,RT4
990,U-251 MG
991,U-2 OS
992,RT4
993,U-251 MG
994,U-251 MG
995,HEK 293
996,PC-3
997,RT4
998,PC-3
999,HEK 293
1000,CACO-2
1001,RT4
1002,A549
1003,CACO-2
1004,RT4
1005,HEK 293
1006,HEK 293
1007,RT4
1008,RT4
1009,HEK 293
1010,MCF7
1011,HeLa
1012,PC-3
1013,MCF7
1014,RT4
1015,MCF7
1016,HEK 293
1017,U-2 OS
1018,U-2 OS
1019,PC-3
1020,U-251 MG
1021,CACO-2
1022,RT4
1023,RT4
1024,CACO-2
1025,HEK 293
1026,HeLa
1027,HEK 293
1028,RT4
1029,U-2 OS
1030,CACO-2
1031,RT4
1032,CACO-2
1033,HeLa
1034,CACO-2
1035,A549
1036,RT4
1037,HEK 293
1038,HEK 293
1039,HEK 293
1040,A549
1041,U-2 OS
1042,A549
1043,RT4
1044,HEK 293
1045,PC-3
1046,HEK 293
1047,U-251 MG
1048,HEK 293
1049,RT4
1050,HEK 293
1051,CACO-2
1052,RT4
1053,HeLa
1054,PC-3
1055,U-2 OS
1056,MCF7
1057,MCF7
1058,RT4
1059,U-251 MG
1060,HeLa
1061,HEK 293
1062,A549
1063,RT4
1064,U-2 OS
1065,PC-3
1066,U-2 OS
1067,U-2 OS
1068,RT4
1069,CACO-2
1070,U-2 OS
1071,CACO-2
1072,CACO-2
1073,U-2 OS
1074,HEK 293
1075,MCF7
1076,RT4
1077,U-251 MG
1078,U-251 MG
1079,MCF7
1080,RT4
1081,RT4
1082,HEK 293
1083,MCF7
1084,U-251 MG
1085,HEK 293
1086,HEK 293
1087,RT4
1088,RT4
1089,MCF7
1090,U-251 MG
1091,A549
1092,HeLa
1093,A549
1094,RT4
1095,PC-3
1096,RT4
1097,HEK 293
1098,U-251 MG
1099,HeLa
1100,U-251 MG
1101,MCF7
1102,U-2 OS
1103,RT4
1104,RT4
1105,U-251 MG
1106,PC-3
1107,CACO-2
1108,MCF7
1109,CACO-2
1110,CACO-2
1111,RT4
1112,CACO-2
1113,RT4
1114,RT4
1115,U-2 OS
1116,U-2 OS
1117,CACO-2
1118,RT4
1119,RT4
1120,HEK 293
1121,PC-3
1122,PC-3
1123,A549
1124,U-251 MG
1125,PC-3
1126,MCF7
1127,MCF7
1128,U-251 MG
1129,HeLa
1130,RT4
1131,RT4
1132,U-251 MG
1133,MCF7
1134,RT4
1135,HeLa
1136,CACO-2
1137,HEK 293
1138,RT4
1139,CACO-2
1140,U-2 OS
1141,A549
1142,A549
1143,HeLa
1144,CACO-2
1145,RT4
1146,CACO-2
1147,RT4
1148,RT4
1149,RT4
1150,MCF7
1151,RT4
1152,MCF7
1153,HEK 293
1154,HEK 293
1155,HEK 293
1156,RT4
1157,RT4
1158,HeLa
1159,MCF7
1160,U-251 MG
1161,HEK 293
1162,RT4
1163,HEK 293
1164,HEK 293
1165,A549
1166,RT4
1167,U-2 OS
1168,RT4
1169,PC-3
1170,RT4
1171,HEK 293
1172,CACO-2
1173,U-2 OS
1174,U-2 OS
1175,A549
1176,HeLa
1177,HeLa
1178,HEK 293
1179,HEK 293
1180,MCF7
1181,A549
1182,U-251 MG
1183,HEK 293
1184,A549
1185,CACO-2
1186,RT4
1187,RT4
1188,HEK 293
1189,HEK 293
1190,PC-3
1191,HEK 293
1192,HEK 293
1193,HEK 293
1194,HEK 293
1195,CACO-2
1196,CACO-2
1197,CACO-2
1198,CACO-2
1199,CACO-2
1200,PC-3
1201,HEK 293
1202,HEK 293
1203,HEK 293
1204,CACO-2
1205,U-251 MG
1206,MCF7
1207,CACO-2
1208,HEK 293
1209,U-2 OS
1210,MCF7
1211,HEK 293
1212,MCF7
1213,U-2 OS
1214,A549
1215,U-2 OS
1216,HEK 293
1217,A549
1218,U-2 OS
1219,CACO-2
1220,CACO-2
1221,HeLa
1222,CACO-2
1223,U-2 OS
1224,MCF7
1225,PC-3
1226,HeLa
1227,U-2 OS
1228,HEK 293
1229,HEK 293
1230,RT4
1231,RT4
1232,CACO-2
1233,RT4
1234,RT4
1235,U-251 MG
1236,A549
1237,A549
1238,RT4
1239,MCF7
1240,MCF7
1241,RT4
1242,MCF7
1243,MCF7
1244,RT4
1245,U-251 MG
1246,CACO-2
1247,HeLa
1248,CACO-2
1249,HeLa
1250,U-251 MG
1251,HEK 293
1252,CACO-2
1253,PC-3
1254,HEK 293
1255,CACO-2
1256,A549
1257,MCF7
1258,HEK 293
1259,HEK 293
1260,RT4
1261,CACO-2
1262,CACO-2
1263,HEK 293
1264,PC-3
1265,A549
1266,PC-3
1267,HEK 293
1268,HEK 293
1269,PC-3
1270,CACO-2
1271,RT4
1272,PC-3
1273,HEK 293
1274,HEK 293
1275,HeLa
1276,RT4
1277,HEK 293
1278,CACO-2
1279,HeLa
1280,RT4
1281,HEK 293
1282,HEK 293
1283,RT4
1284,A549
1285,MCF7
1286,HEK 293
1287,RT4
1288,HeLa
1289,MCF7
1290,HeLa
1291,CACO-2
1292,RT4
1293,CACO-2
1294,U-2 OS
1295,PC-3
1296,RT4
1297,HEK 293
1298,PC-3
1299,CACO-2
1300,HEK 293
1301,RT4
1302,CACO-2
1303,MCF7
1304,U-2 OS
1305,PC-3
1306,U-2 OS
1307,RT4
1308,RT4
1309,A549
1310,MCF7
1311,U-251 MG
1312,RT4
1313,HEK 293
1314,CACO-2
1315,U-2 OS
1316,RT4
1317,HEK 293
1318,HEK 293
1319,HeLa
1320,CACO-2
1321,RT4
1322,U-251 MG
1323,MCF7
1324,CACO-2
1325,MCF7
1326,RT4
1327,HEK 293
1328,RT4
1329,RT4
1330,PC-3
1331,MCF7
1332,U-2 OS
1333,MCF7
1334,HEK 293
1335,MCF7
1336,MCF7
1337,RT4
1338,U-2 OS
1339,CACO-2
1340,U-251 MG
1341,U-2 OS
1342,CACO-2
1343,HEK 293
1344,A549
1345,CACO-2
1346,CACO-2
1347,MCF7
1348,HeLa
1349,RT4
1350,RT4
1351,A549
1352,CACO-2
1353,U-2 OS
1354,MCF7
1355,HEK 293
1356,PC-3
1357,HEK 293
1358,U-251 MG
1359,MCF7
1360,RT4
1361,CACO-2
1362,MCF7
1363,HEK 293
1364,U-251 MG
1365,HEK 293
1366,U-251 MG
1367,HeLa
1368,MCF7
1369,MCF7
1370,CACO-2
1371,HeLa
1372,CACO-2
1373,RT4
1374,A549
1375,CACO-2
1376,RT4
1377,HEK 293
1378,U-251 MG
1379,HeLa
1380,U-2 OS
1381,HeLa
1382,HeLa
1383,MCF7
1384,U-251 MG
1385,MCF7
1386,A549
1387,CACO-2
1388,RT4
1389,U-2 OS
1390,U-251 MG
1391,RT4
1392,PC-3
1393,PC-3
1394,CACO-2
1395,RT4
1396,CACO-2
1397,CACO-2
1398,HEK 293
1399,CACO-2
1400,RT4
1401,RT4
1402,PC-3
1403,U-251 MG
1404,HeLa
1405,CACO-2
1406,CACO-2
1407,U-251 MG
1408,RT4
1409,HeLa
1410,HEK 293
1411,MCF7
1412,HEK 293
1413,CACO-2
1414,HeLa
1415,HEK 293
1416,CACO-2
1417,A549
1418,U-2 OS
1419,A549
1420,CACO-2
1421,MCF7
1422,RT4
1423,MCF7
1424,CACO-2
1425,CACO-2
1426,HEK 293
1427,CACO-2
1428,HEK 293
1429,U-251 MG
1430,RT4
1431,RT4
1432,RT4
1433,U-2 OS
1434,U-251 MG
1435,RT4
1436,RT4
1437,CACO-2
1438,HEK 293
1439,A549
1440,HeLa
1441,MCF7
1442,HeLa
1443,U-2 OS
1444,HEK 293
1445,RT4
1446,HEK 293
1447,CACO-2
1448,RT4
1449,U-251 MG
1450,U-2 OS
1451,MCF7
1452,RT4
1453,RT4
1454,U-251 MG
1455,CACO-2
1456,MCF7
1457,PC-3
1458,PC-3
1459,RT4
1460,U-251 MG
1461,U-251 MG
1462,MCF7
1463,U-251 MG
1464,CACO-2
1465,CACO-2
1466,CACO-2
1467,U-2 OS
1468,HEK 293
1469,A549
1470,RT4
1471,A549
1472,CACO-2
1473,HEK 293
1474,HeLa
1475,CACO-2
1476,RT4
1477,HeLa
1478,MCF7
1479,RT4
1480,PC-3
1481,CACO-2
1482,RT4
1483,HEK 293
1484,CACO-2
1485,HEK 293
1486,RT4
1487,PC-3
1488,MCF7
1489,HEK 293
1490,PC-3
1491,U-251 MG
1492,HEK 293
1493,U-251 MG
1494,HEK 293
1495,HEK 293
1496,CACO-2
1497,U-251 MG
1498,U-251 MG
1499,HeLa
1500,PC-3
1501,CACO-2
1502,CACO-2
1503,CACO-2
1504,A549
1505,RT4
1506,RT4
1507,MCF7
1508,U-2 OS
1509,HEK 293
1510,RT4
1511,RT4
1512,HEK 293
1513,HEK 293
1514,PC-3
1515,CACO-2
1516,RT4
1517,RT4
1518,RT4
1519,A549
1520,RT4
1521,CACO-2
1522,U-251 MG
1523,MCF7
1524,CACO-2
1525,RT4
1526,U-2 OS
1527,RT4
1528,RT4
1529,A549
1530,RT4
1531,U-251 MG
1532,HEK 293
1533,U-251 MG
1534,MCF7
1535,HEK 293
1536,U-251 MG
1537,RT4
1538,HeLa
1539,RT4
1540,RT4
1541,U-2 OS
1542,HeLa
1543,RT4
1544,HEK 293
1545,U-2 OS
1546,HEK 293
1547,CACO-2
1548,A549
1549,MCF7
1550,HEK 293
1551,HeLa
1552,RT4
1553,MCF7
1554,HEK 293
1555,MCF7
1556,MCF7
1557,CACO-2
1558,CACO-2
1559,RT4
1560,U-2 OS
1561,HEK 293
1562,RT4
1563,MCF7
1564,A549
1565,CACO-2
1566,MCF7
1567,CACO-2
1568,HEK 293
1569,MCF7
1570,MCF7
1571,RT4
1572,RT4
1573,RT4
1574,RT4
1575,RT4
1576,U-2 OS
1577,HEK 293
1578,CACO-2
1579,CACO-2
1580,MCF7
1581,PC-3
1582,PC-3
1583,A549
1584,CACO-2
1585,PC-3
1586,MCF7
1587,U-2 OS
1588,PC-3
1589,RT4
1590,HEK 293
1591,A549
1592,HeLa
1593,MCF7
1594,PC-3
1595,MCF7
1596,U-251 MG
1597,HEK 293
1598,PC-3
1599,PC-3
1600,PC-3
1601,RT4
1602,HeLa
1603,HEK 293
1604,RT4
1605,U-2 OS
1606,U-251 MG
1607,MCF7
1608,RT4
1609,MCF7
1610,HeLa
1611,HeLa
1612,PC-3
1613,HEK 293
1614,A549
1615,MCF7
1616,MCF7
1617,CACO-2
1618,CACO-2
1619,RT4
1620,U-251 MG
1621,CACO-2
1622,RT4
1623,HEK 293
1624,CACO-2
1625,HEK 293
1626,HEK 293
1627,U-2 OS
1628,PC-3
1629,CACO-2
1630,CACO-2
1631,MCF7
1632,U-2 OS
1633,RT4
1634,U-251 MG
1635,HEK 293
1636,RT4
1637,RT4
1638,A549
1639,PC-3
1640,A549
1641,U-251 MG
1642,U-2 OS
1643,RT4
1644,HEK 293
1645,U-251 MG
1646,CACO-2
1647,HEK 293
1648,PC-3
1649,U-251 MG
1650,HeLa
1651,MCF7
1652,MCF7
1653,RT4
1654,CACO-2
1655,MCF7
1656,CACO-2
1657,RT4
1658,U-2 OS
1659,RT4
1660,CACO-2
1661,CACO-2
1662,U-251 MG
1663,CACO-2
1664,MCF7
1665,MCF7
1666,HeLa
1667,HeLa
1668,A549
1669,RT4
1670,PC-3
1671,MCF7
1672,HeLa
1673,HEK 293
1674,CACO-2
1675,MCF7
1676,A549
1677,MCF7
1678,HEK 293
1679,CACO-2
1680,RT4
1681,RT4
1682,CACO-2
1683,HeLa
1684,HEK 293
1685,PC-3
1686,MCF7
1687,HEK 293
1688,PC-3
1689,HEK 293
1690,HeLa
1691,CACO-2
1692,RT4
1693,RT4
1694,RT4
1695,RT4
1696,RT4
1697,U-251 MG
1698,HeLa
1699,CACO-2
1700,U-251 MG
1701,PC-3
1702,MCF7
1703,RT4
1704,MCF7
1705,CACO-2
1706,CACO-2
1707,HEK 293
1708,U-251 MG
1709,U-251 MG
1710,RT4
1711,HeLa
1712,CACO-2
1713,RT4
1714,MCF7
1715,CACO-2
1716,MCF7
1717,U-251 MG
1718,RT4
1719,MCF7
1720,CACO-2
1721,A549
1722,U-2 OS
1723,HEK 293
1724,HEK 293
1725,RT4
1726,U-251 MG
1727,U-2 OS
1728,MCF7
1729,A549
1730,RT4
1731,MCF7
1732,HEK 293
1733,RT4
1734,HEK 293
1735,PC-3
1736,U-2 OS
1737,HEK 293
1738,RT4
1739,HeLa
1740,RT4
1741,MCF7
1742,HeLa
1743,U-251 MG
1744,RT4
1745,HEK 293
1746,MCF7
1747,U-2 OS
1748,U-2 OS
1749,A549
1750,CACO-2
1751,RT4
1752,PC-3
1753,U-2 OS
1754,HeLa
1755,CACO-2
1756,HEK 293
1757,HEK 293
1758,MCF7
1759,RT4
1760,HeLa
1761,HEK 293
1762,HeLa
1763,CACO-2
1764,CACO-2
1765,MCF7
1766,CACO-2
1767,PC-3
1768,RT4
1769,U-2 OS
1770,HEK 293
1771,PC-3
1772,A549
1773,MCF7
1774,HEK 293
1775,PC-3
1776,PC-3
1777,CACO-2
1778,CACO-2
1779,HeLa
1780,U-251 MG
1781,CACO-2
1782,HEK 293
1783,RT4
1784,HEK 293
1785,RT4
1786,PC-3
1787,CACO-2
1788,U-2 OS
1789,U-2 OS
1790,CACO-2
1791,HeLa
1792,CACO-2
1793,MCF7
1794,MCF7
1795,HEK 293
1796,HEK 293
1797,U-2 OS
1798,HEK 293
1799,PC-3
1800,RT4
1801,RT4
1802,CACO-2
1803,U-2 OS
1804,RT4
1805,CACO-2
1806,HEK 293
1807,RT4
